Date;Time;Pst1;Pst2;Pst3 
3/07/2008;19:55:00;0,186;0,163;0,19
3/07/2008;20:05:00;0,175;0,156;0,158
3/07/2008;20:15:00;0,193;0,182;0,187
3/07/2008;20:25:00;0,244;0,21;0,226
3/07/2008;20:35:00;0,175;0,168;0,144
3/07/2008;20:45:00;0,191;0,165;0,147
3/07/2008;20:55:00;0,305;0,306;0,289
3/07/2008;21:05:00;0,228;0,245;0,237
3/07/2008;21:15:00;0,209;0,209;0,185
3/07/2008;21:25:00;0,221;0,221;0,203
3/07/2008;21:35:00;0,207;0,194;0,178
3/07/2008;21:45:00;0,336;0,237;0,271
3/07/2008;21:55:00;0,261;0,264;0,247
3/07/2008;22:05:00;0,194;0,186;0,189
3/07/2008;22:15:00;0,204;0,206;0,198
3/07/2008;22:25:00;0,287;0,263;0,231
3/07/2008;22:35:00;0,211;0,214;0,202
3/07/2008;22:45:00;0,195;0,205;0,188
3/07/2008;22:55:00;0,218;0,223;0,184
3/07/2008;23:05:00;0,223;0,207;0,203
3/07/2008;23:15:00;0,311;0,322;0,303
3/07/2008;23:25:00;0,191;0,188;0,177
3/07/2008;23:35:00;0,188;0,182;0,177
3/07/2008;23:45:00;0,209;0,209;0,194
3/07/2008;23:55:00;0,211;0,221;0,202
4/07/2008;00:05:00;0,238;0,241;0,224
4/07/2008;00:15:00;0,183;0,175;0,167
4/07/2008;00:25:00;0,276;0,285;0,274
4/07/2008;00:35:00;0,272;0,288;0,272
4/07/2008;00:45:00;0,227;0,229;0,22
4/07/2008;00:55:00;0,258;0,28;0,256
4/07/2008;01:05:00;0,199;0,192;0,183
4/07/2008;01:15:00;0,305;0,295;0,297
4/07/2008;01:25:00;0,255;0,263;0,25
4/07/2008;01:35:00;0,223;0,228;0,22
4/07/2008;01:45:00;0,299;0,332;0,292
4/07/2008;01:55:00;0,227;0,226;0,214
4/07/2008;02:05:00;0,212;0,228;0,211
4/07/2008;02:15:00;0,509;0,325;0,564
4/07/2008;02:25:00;0,238;0,247;0,234
4/07/2008;02:35:00;0,168;0,159;0,156
4/07/2008;02:45:00;0,558;0,418;0,459
4/07/2008;02:55:00;0,63;0,461;0,513
4/07/2008;03:05:00;0,601;0,537;0,611
4/07/2008;03:15:00;0,707;0,64;0,707
4/07/2008;03:25:00;0,527;0,455;0,481
4/07/2008;03:35:00;0,448;0,45;0,445
4/07/2008;03:45:00;0,446;0,391;0,458
4/07/2008;03:55:00;0,389;0,334;0,376
4/07/2008;04:05:00;0,364;0,338;0,327
4/07/2008;04:15:00;0,487;0,435;0,386
4/07/2008;04:25:00;0,428;0,372;0,321
4/07/2008;04:35:00;0,511;0,384;0,42
4/07/2008;04:45:00;0,659;0,515;0,578
4/07/2008;04:55:00;0,46;0,413;0,479
4/07/2008;05:05:00;0,345;0,288;0,309
4/07/2008;05:15:00;0,334;0,288;0,33
4/07/2008;05:25:00;0,405;0,357;0,436
4/07/2008;05:35:00;0,457;0,382;0,4
4/07/2008;05:45:00;0,437;0,351;0,33
4/07/2008;05:55:00;0,687;0,625;0,739
4/07/2008;06:05:00;0,505;0,45;0,445
4/07/2008;06:15:00;0,443;0,428;0,433
4/07/2008;06:25:00;0,404;0,333;0,342
4/07/2008;06:35:00;0,465;0,404;0,403
4/07/2008;06:45:00;0,34;0,324;0,31
4/07/2008;06:55:00;0,458;0,395;0,391
4/07/2008;07:05:00;0,481;0,428;0,418
4/07/2008;07:15:00;0,482;0,425;0,398
4/07/2008;07:25:00;0,599;0,545;0,641
4/07/2008;07:35:00;0,48;0,361;0,312
4/07/2008;07:45:00;0,302;0,274;0,33
4/07/2008;07:55:00;0,239;0,225;0,245
4/07/2008;08:05:00;0,18;0,168;0,256
4/07/2008;08:15:00;0,329;0,325;0,303
4/07/2008;08:25:00;0,239;0,228;0,214
4/07/2008;08:35:00;0,489;0,419;0,378
4/07/2008;08:45:00;0,489;0,54;0,375
4/07/2008;08:55:00;0,511;0,427;0,366
4/07/2008;09:05:00;0,567;0,448;0,518
4/07/2008;09:15:00;0,642;0,441;0,555
4/07/2008;09:25:00;0,414;0,439;0,433
4/07/2008;09:35:00;0,317;0,253;0,297
4/07/2008;09:45:00;0,509;0,486;0,484
4/07/2008;09:55:00;0,467;0,481;0,444
4/07/2008;10:05:00;0,422;0,37;0,376
4/07/2008;10:15:00;0,47;0,444;0,438
4/07/2008;10:25:00;0,613;0,521;0,543
4/07/2008;10:35:00;0,432;0,421;0,443
4/07/2008;10:45:00;0,415;0,417;0,399
4/07/2008;10:55:00;0,42;0,376;0,373
4/07/2008;11:05:00;0,391;0,29;0,353
4/07/2008;11:15:00;0,395;0,391;0,379
4/07/2008;11:25:00;0,491;0,464;0,472
4/07/2008;11:35:00;2,428;2,658;2,486
4/07/2008;11:45:00;2,541;2,464;2,421
4/07/2008;11:55:00;0,423;0,404;0,441
4/07/2008;12:05:00;0,368;0,385;0,368
4/07/2008;12:15:00;0,818;0,808;0,735
4/07/2008;12:25:00;0,464;0,435;0,438
4/07/2008;12:35:00;0,53;0,535;0,527
4/07/2008;12:45:00;0,538;0,451;0,504
4/07/2008;12:55:00;0,612;0,495;0,491
4/07/2008;13:05:00;0,597;0,483;0,53
4/07/2008;13:15:00;0,709;0,607;0,631
4/07/2008;13:25:00;0,561;0,525;0,493
4/07/2008;13:35:00;0,404;0,373;0,351
