"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-03"	"01:45:00"	0,384	0,389	0,305	
"2008-07-03"	"01:55:00"	0,432	0,356	0,37	
"2008-07-03"	"02:05:00"	0,353	0,325	0,314	
"2008-07-03"	"02:15:00"	0,688	0,615	0,646	
"2008-07-03"	"02:25:00"	0,492	0,432	0,371	
"2008-07-03"	"02:35:00"	0,436	0,401	0,398	
"2008-07-03"	"02:45:00"	0,38	0,304	0,294	
"2008-07-03"	"02:55:00"	0,423	0,307	0,338	
"2008-07-03"	"03:05:00"	0,438	0,449	0,37	
"2008-07-03"	"03:15:00"	0,51	0,424	0,372	
"2008-07-03"	"03:25:00"	0,492	0,421	0,407	
"2008-07-03"	"03:35:00"	0,49	0,476	0,474	
"2008-07-03"	"03:45:00"	0,475	0,438	0,393	
"2008-07-03"	"03:55:00"	0,409	0,363	0,362	
"2008-07-03"	"04:05:00"	0,366	0,336	0,366	
"2008-07-03"	"04:15:00"	0,528	0,466	0,42	
"2008-07-03"	"04:25:00"	0,496	0,583	0,44	
"2008-07-03"	"04:35:00"	0,4	0,383	0,317	
"2008-07-03"	"04:45:00"	0,598	0,478	0,537	
"2008-07-03"	"04:55:00"	0,45	0,408	0,39	
"2008-07-03"	"05:05:00"	0,364	0,288	0,33	
"2008-07-03"	"05:15:00"	0,446	0,453	0,411	
"2008-07-03"	"05:25:00"	0,546	0,498	0,514	
"2008-07-03"	"05:35:00"	0,24	0,262	0,217	
"2008-07-03"	"05:45:00"	0,23	0,237	0,235	
"2008-07-03"	"05:55:00"	0,209	0,218	0,216	
"2008-07-03"	"06:05:00"	0,239	0,239	0,221	
"2008-07-03"	"06:15:00"	0,572	0,424	0,465	
"2008-07-03"	"06:25:00"	0,429	0,464	0,429	
"2008-07-03"	"06:35:00"	0,609	0,532	0,554	
"2008-07-03"	"06:45:00"	0,516	0,458	0,48	
"2008-07-03"	"06:55:00"	0,317	0,247	0,259	
"2008-07-03"	"07:05:00"	0,271	0,242	0,307	
"2008-07-03"	"07:15:00"	0,279	0,261	0,238	
"2008-07-03"	"07:25:00"	0,168	0,165	0,159	
"2008-07-03"	"07:35:00"	0,205	0,21	0,2	
"2008-07-03"	"07:45:00"	0,211	0,207	0,229	
"2008-07-03"	"07:55:00"	0,509	0,505	0,423	
"2008-07-03"	"08:05:00"	0,475	0,466	0,426	
"2008-07-03"	"08:15:00"	0,485	0,456	0,426	
"2008-07-03"	"08:25:00"	0,334	0,261	0,283	
"2008-07-03"	"08:35:00"	0,576	0,475	0,516	
"2008-07-03"	"08:45:00"	0,575	0,513	0,512	
"2008-07-03"	"08:55:00"	0,491	0,42	0,46	
"2008-07-03"	"09:05:00"	0,365	0,291	0,34	
"2008-07-03"	"09:15:00"	0,44	0,293	0,293	
"2008-07-03"	"09:25:00"	1,096	1,197	1,23	
"2008-07-03"	"09:35:00"	0,426	0,372	0,362	
"2008-07-03"	"09:45:00"	1,502	1,485	1,422	
"2008-07-03"	"09:55:00"	0,492	0,468	0,453	
"2008-07-03"	"10:05:00"	0,396	0,333	0,339	
"2008-07-03"	"10:15:00"	0,575	0,558	0,557	
"2008-07-03"	"10:25:00"	0,396	0,395	0,315	
"2008-07-03"	"10:35:00"	0,447	0,391	0,358	
"2008-07-03"	"10:45:00"	0,552	0,468	0,517	
"2008-07-03"	"10:55:00"	0,53	0,462	0,521	
